2022-06-16 17:24:25 status not-installed grub-legacy-ec2:all <none>
2022-06-16 17:24:25 startup packages configure
2022-06-16 17:24:26 startup packages remove
2022-06-16 17:24:26 status installed linux-virtual:amd64 4.15.0.187.173
2022-06-16 17:24:26 remove linux-virtual:amd64 4.15.0.187.173 <none>
2022-06-16 17:24:26 status half-configured linux-virtual:amd64 4.15.0.187.173
2022-06-16 17:24:26 status half-installed linux-virtual:amd64 4.15.0.187.173
2022-06-16 17:24:26 status config-files linux-virtual:amd64 4.15.0.187.173
2022-06-16 17:24:26 status config-files linux-virtual:amd64 4.15.0.187.173
2022-06-16 17:24:26 status config-files linux-virtual:amd64 4.15.0.187.173
2022-06-16 17:24:26 status not-installed linux-virtual:amd64 <none>
2022-06-16 17:24:26 status installed linux-headers-virtual:amd64 4.15.0.187.173
2022-06-16 17:24:26 remove linux-headers-virtual:amd64 4.15.0.187.173 <none>
2022-06-16 17:24:26 status half-configured linux-headers-virtual:amd64 4.15.0.187.173
2022-06-16 17:24:26 status half-installed linux-headers-virtual:amd64 4.15.0.187.173
2022-06-16 17:24:26 status config-files linux-headers-virtual:amd64 4.15.0.187.173
2022-06-16 17:24:26 status config-files linux-headers-virtual:amd64 4.15.0.187.173
2022-06-16 17:24:27 status config-files linux-headers-virtual:amd64 4.15.0.187.173
2022-06-16 17:24:27 status not-installed linux-headers-virtual:amd64 <none>
2022-06-16 17:24:27 status installed linux-headers-generic:amd64 4.15.0.187.173
2022-06-16 17:24:27 remove linux-headers-generic:amd64 4.15.0.187.173 <none>
2022-06-16 17:24:27 status half-configured linux-headers-generic:amd64 4.15.0.187.173
2022-06-16 17:24:27 status half-installed linux-headers-generic:amd64 4.15.0.187.173
2022-06-16 17:24:27 status config-files linux-headers-generic:amd64 4.15.0.187.173
2022-06-16 17:24:27 status config-files linux-headers-generic:amd64 4.15.0.187.173
2022-06-16 17:24:27 status config-files linux-headers-generic:amd64 4.15.0.187.173
2022-06-16 17:24:27 status not-installed linux-headers-generic:amd64 <none>
2022-06-16 17:24:27 status installed linux-headers-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:27 remove linux-headers-4.15.0-187-generic:amd64 4.15.0-187.198 <none>
2022-06-16 17:24:27 status half-configured linux-headers-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:27 status half-installed linux-headers-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:27 status config-files linux-headers-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:27 status config-files linux-headers-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:27 status config-files linux-headers-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:27 status not-installed linux-headers-4.15.0-187-generic:amd64 <none>
2022-06-16 17:24:27 status installed linux-headers-4.15.0-187:all 4.15.0-187.198
2022-06-16 17:24:27 remove linux-headers-4.15.0-187:all 4.15.0-187.198 <none>
2022-06-16 17:24:27 status half-configured linux-headers-4.15.0-187:all 4.15.0-187.198
2022-06-16 17:24:27 status half-installed linux-headers-4.15.0-187:all 4.15.0-187.198
2022-06-16 17:24:28 status config-files linux-headers-4.15.0-187:all 4.15.0-187.198
2022-06-16 17:24:28 status config-files linux-headers-4.15.0-187:all 4.15.0-187.198
2022-06-16 17:24:28 status config-files linux-headers-4.15.0-187:all 4.15.0-187.198
2022-06-16 17:24:28 status not-installed linux-headers-4.15.0-187:all <none>
2022-06-16 17:24:28 status installed linux-image-virtual:amd64 4.15.0.187.173
2022-06-16 17:24:28 remove linux-image-virtual:amd64 4.15.0.187.173 <none>
2022-06-16 17:24:28 status half-configured linux-image-virtual:amd64 4.15.0.187.173
2022-06-16 17:24:28 status half-installed linux-image-virtual:amd64 4.15.0.187.173
2022-06-16 17:24:28 status config-files linux-image-virtual:amd64 4.15.0.187.173
2022-06-16 17:24:28 status config-files linux-image-virtual:amd64 4.15.0.187.173
2022-06-16 17:24:28 status config-files linux-image-virtual:amd64 4.15.0.187.173
2022-06-16 17:24:28 status not-installed linux-image-virtual:amd64 <none>
2022-06-16 17:24:28 status installed linux-image-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:28 remove linux-image-4.15.0-187-generic:amd64 4.15.0-187.198 <none>
2022-06-16 17:24:28 status half-configured linux-image-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:28 status half-installed linux-image-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:28 status config-files linux-image-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:28 status config-files linux-image-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:28 status installed linux-modules-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:28 remove linux-modules-4.15.0-187-generic:amd64 4.15.0-187.198 <none>
2022-06-16 17:24:28 status half-configured linux-modules-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:28 status half-installed linux-modules-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:28 status config-files linux-modules-4.15.0-187-generic:amd64 4.15.0-187.198
